지점,지점명,일시(UTC),기압(hPa),고도(gpm),기온(°C)
47102,백령도,2012-01-01 00:00,10,30780,-40.9
47102,백령도,2012-01-01 00:00,20,26120,-51.5
47102,백령도,2012-01-01 00:00,30,23540,-58.1
47102,백령도,2012-01-01 00:00,50,20340,-57.3
47102,백령도,2012-01-01 00:00,70,18260,-62.5
47102,백령도,2012-01-01 00:00,100,16020,-56.9
47102,백령도,2012-01-01 00:00,150,13410,-49.3
47102,백령도,2012-01-01 00:00,200,11540,-49.5
47102,백령도,2012-01-01 00:00,250,10090,-55.5
47102,백령도,2012-01-01 00:00,300,8910,-48.1
47102,백령도,2012-01-01 00:00,400,6960,-36.3
47102,백령도,2012-01-01 00:00,500,5390,-29.9
47102,백령도,2012-01-01 00:00,700,2933,-16.5
47102,백령도,2012-01-01 00:00,850,1462,-12.1
47102,백령도,2012-01-01 00:00,925,813,-9.3
47102,백령도,2012-01-01 00:00,1000,204,-3.7
47102,백령도,2012-01-01 12:00,10,30760,-39.1
47102,백령도,2012-01-01 12:00,20,26120,-51.1
47102,백령도,2012-01-01 12:00,30,23530,-56.5
47102,백령도,2012-01-01 12:00,50,20330,-58.9
47102,백령도,2012-01-01 12:00,70,18240,-59.7
47102,백령도,2012-01-01 12:00,100,15990,-61.5
47102,백령도,2012-01-01 12:00,150,13410,-48.5
47102,백령도,2012-01-01 12:00,200,11520,-50.1
47102,백령도,2012-01-01 12:00,250,10070,-51.3
47102,백령도,2012-01-01 12:00,300,8880,-49.5
47102,백령도,2012-01-01 12:00,400,6970,-42.3
47102,백령도,2012-01-01 12:00,500,5420,-31.1
47102,백령도,2012-01-01 12:00,700,2962,-17.5
47102,백령도,2012-01-01 12:00,850,1478,-7.9
47102,백령도,2012-01-01 12:00,925,826,-10.7
47102,백령도,2012-01-01 12:00,1000,221,-4.9
47102,백령도,2012-01-02 00:00,100,,
47102,백령도,2012-01-02 00:00,200,11560,-49.9
47102,백령도,2012-01-02 00:00,250,10100,-51.5
47102,백령도,2012-01-02 00:00,300,8920,-50.7
47102,백령도,2012-01-02 00:00,400,7010,-41.7
47102,백령도,2012-01-02 00:00,500,5460,-29.9
47102,백령도,2012-01-02 00:00,700,2975,-11.7
47102,백령도,2012-01-02 00:00,850,1473,-7.5
47102,백령도,2012-01-02 00:00,925,821,-10.1
47102,백령도,2012-01-02 00:00,1000,215,-5.3
47102,백령도,2012-01-02 12:00,10,30860,-43.5
47102,백령도,2012-01-02 12:00,20,26210,-49.5
47102,백령도,2012-01-02 12:00,30,23580,-54.9
47102,백령도,2012-01-02 12:00,50,20370,-61.3
47102,백령도,2012-01-02 12:00,70,18280,-58.9
47102,백령도,2012-01-02 12:00,100,16050,-59.5
47102,백령도,2012-01-02 12:00,150,13480,-52.5
47102,백령도,2012-01-02 12:00,200,11610,-48.7
47102,백령도,2012-01-02 12:00,250,10140,-48.9
47102,백령도,2012-01-02 12:00,300,8940,-44.7
47102,백령도,2012-01-02 12:00,400,6970,-34.9
47102,백령도,2012-01-02 12:00,500,5390,-28.1
47102,백령도,2012-01-02 12:00,700,2940,-17.5
47102,백령도,2012-01-02 12:00,850,1466,-11.1
47102,백령도,2012-01-02 12:00,925,813,-8.7
47102,백령도,2012-01-02 12:00,1000,203,-3.1
47102,백령도,2012-01-03 00:00,10,31020,-44.1
47102,백령도,2012-01-03 00:00,20,26350,-44.3
47102,백령도,2012-01-03 00:00,30,23710,-56.7
47102,백령도,2012-01-03 00:00,50,20480,-60.5
47102,백령도,2012-01-03 00:00,70,18380,-61.7
47102,백령도,2012-01-03 00:00,100,16150,-57.9
47102,백령도,2012-01-03 00:00,150,13540,-49.9
47102,백령도,2012-01-03 00:00,200,11670,-50.1
47102,백령도,2012-01-03 00:00,250,10210,-52.1
47102,백령도,2012-01-03 00:00,300,9000,-41.3
47102,백령도,2012-01-03 00:00,400,6970,-26.3
47102,백령도,2012-01-03 00:00,500,5360,-26.3
47102,백령도,2012-01-03 00:00,700,2912,-21.1
47102,백령도,2012-01-03 00:00,850,1444,-9.9
47102,백령도,2012-01-03 00:00,925,786,-5.1
47102,백령도,2012-01-03 00:00,1000,167,-1.1
47102,백령도,2012-01-03 12:00,10,30830,-45.7
47102,백령도,2012-01-03 12:00,20,26210,-46.7
47102,백령도,2012-01-03 12:00,30,23580,-54.7
47102,백령도,2012-01-03 12:00,50,20370,-59.5
47102,백령도,2012-01-03 12:00,70,18290,-61.1
47102,백령도,2012-01-03 12:00,100,16060,-58.3
47102,백령도,2012-01-03 12:00,150,13480,-49.7
47102,백령도,2012-01-03 12:00,200,11570,-44.1
47102,백령도,2012-01-03 12:00,250,10070,-42.5
47102,백령도,2012-01-03 12:00,300,8830,-41.1
47102,백령도,2012-01-03 12:00,400,6840,-36.7
47102,백령도,2012-01-03 12:00,500,5270,-30.1
47102,백령도,2012-01-03 12:00,700,2865,-24.5
47102,백령도,2012-01-03 12:00,850,1432,-16.1
47102,백령도,2012-01-03 12:00,925,790,-11.3
47102,백령도,2012-01-03 12:00,1000,185,-5.9
47102,백령도,2012-01-04 00:00,20,26300,-45.7
47102,백령도,2012-01-04 00:00,30,23670,-54.5
47102,백령도,2012-01-04 00:00,50,20450,-59.3
47102,백령도,2012-01-04 00:00,70,18360,-60.9
47102,백령도,2012-01-04 00:00,100,16120,-55.7
47102,백령도,2012-01-04 00:00,150,13500,-45.7
47102,백령도,2012-01-04 00:00,200,11580,-43.1
47102,백령도,2012-01-04 00:00,250,10060,-39.7
47102,백령도,2012-01-04 00:00,300,8810,-39.1
47102,백령도,2012-01-04 00:00,400,6850,-40.7
47102,백령도,2012-01-04 00:00,500,5330,-35.7
47102,백령도,2012-01-04 00:00,700,2905,-20.3
47102,백령도,2012-01-04 00:00,850,1454,-15.9
47102,백령도,2012-01-04 00:00,925,813,-12.7
47102,백령도,2012-01-04 00:00,1000,212,-7.1
47102,백령도,2012-01-04 12:00,10,30890,-46.9
