지점,지점명,일시,일 최심신적설(cm)
102,백령도,2014-12-02,.8
102,백령도,2014-12-03,.4
102,백령도,2014-12-04,2.2
102,백령도,2014-12-05,1
102,백령도,2014-12-07,1.9
102,백령도,2014-12-08,0
102,백령도,2014-12-12,7.5
102,백령도,2014-12-14,11.5
102,백령도,2014-12-15,0
102,백령도,2014-12-16,.2
102,백령도,2014-12-21,10.4
102,백령도,2014-12-22,.7
102,백령도,2015-01-01,.2
102,백령도,2015-01-02,10.3
102,백령도,2015-01-25,1.3
102,백령도,2015-01-29,0
102,백령도,2015-01-30,.7
