지점,일시,평균 수온(°C)
22101,2014-11-01,18.2
22101,2014-11-02,18.1
22101,2014-11-03,17.7
22101,2014-11-04,17.5
22101,2014-11-05,17.2
22101,2014-11-06,17.2
22101,2014-11-07,17.1
22101,2014-11-08,16.9
22101,2014-11-09,16.7
22101,2014-11-10,16.6
22101,2014-11-11,16.4
22101,2014-11-12,16.1
22101,2014-11-13,15.5
22101,2014-11-14,15.2
22101,2014-11-15,14.9
22101,2014-11-16,14.7
22101,2014-11-17,14.7
22101,2014-11-18,14.6
22101,2014-11-19,14.4
22101,2014-11-20,14.4
22101,2014-11-21,14.2
22101,2014-11-23,14
22101,2014-11-24,14
22101,2014-11-25,13.8
22101,2014-11-26,13.7
22101,2014-11-27,13.7
22101,2014-11-28,13.7
22101,2014-11-29,13.7
22101,2014-11-30,13.6
22101,2014-12-01,13.3
22101,2014-12-02,12.8
22101,2014-12-03,12.2
22101,2014-12-04,11.7
22101,2014-12-05,11.4
22101,2014-12-06,11.1
22101,2014-12-07,10.7
22101,2014-12-08,10.5
22101,2014-12-09,10.2
22101,2014-12-10,10.2
22101,2014-12-11,10
22101,2014-12-12,9.8
22101,2014-12-13,9.6
22101,2014-12-14,9.4
22101,2014-12-15,9.3
22101,2014-12-16,9.1
22101,2014-12-17,8.7
22101,2014-12-18,8.4
22101,2014-12-19,7.9
22101,2014-12-20,7.3
22101,2014-12-21,7.1
22101,2014-12-22,6.8
22101,2014-12-23,6.8
22101,2014-12-24,6.8
22101,2014-12-25,6.6
22101,2014-12-26,6.5
22101,2014-12-27,6.5
22101,2014-12-28,6.4
22101,2014-12-29,6.4
22101,2014-12-30,6.4
22101,2014-12-31,6.3
22101,2015-01-01,6
22101,2015-01-02,5.8
22101,2015-01-03,5.5
22101,2015-01-04,5.5
22101,2015-01-05,5.4
22101,2015-01-06,5.4
22101,2015-01-07,5
22101,2015-01-08,4.9
22101,2015-01-09,4.9
22101,2015-01-10,4.8
22101,2015-01-11,4.6
22101,2015-01-12,4.6
22101,2015-01-13,4.5
22101,2015-01-14,4.5
22101,2015-01-15,4.6
22101,2015-01-16,4.6
22101,2015-01-17,4.4
22101,2015-01-18,4.4
22101,2015-01-19,4.3
22101,2015-01-22,4
22101,2015-01-23,4
22101,2015-01-24,4.2
22101,2015-01-25,4.2
22101,2015-01-26,4.2
22101,2015-01-27,4.2
22101,2015-01-28,4.1
22101,2015-01-29,4
22101,2015-01-30,4.1
22101,2015-01-31,3.9
22101,2015-02-01,3.8
22101,2015-02-02,3.9
22101,2015-02-03,3.8
22101,2015-02-04,3.8
22101,2015-02-05,3.7
22101,2015-02-06,3.7
22101,2015-02-07,3.6
22101,2015-02-08,3.4
22101,2015-02-09,3.3
22101,2015-02-10,3.2
22101,2015-02-11,3.2
22101,2015-02-12,3.1
22101,2015-02-13,3
22101,2015-02-14,3
22101,2015-02-15,3.1
22101,2015-02-16,3.1
22101,2015-02-17,3.2
22101,2015-02-18,3.3
22101,2015-02-19,3.3
22101,2015-02-20,3.3
22101,2015-02-21,3.3
22101,2015-02-23,3.5
22101,2015-02-24,3.5
22101,2015-02-25,3.6
22101,2015-02-26,3.6
22101,2015-02-27,3.6
22101,2015-02-28,3.6
22101,2015-03-01,3.6
22101,2015-03-02,3.7
22101,2015-03-03,3.6
22101,2015-03-04,3.6
22101,2015-03-07,3.5
22101,2015-03-08,3.7
22101,2015-03-09,3.7
22101,2015-03-10,3.5
22101,2015-03-11,3.6
22101,2015-03-12,3.6
22101,2015-03-13,3.7
22101,2015-03-14,3.8
22101,2015-03-15,3.8
22101,2015-03-16,4
22101,2015-03-17,4
22101,2015-03-18,4
22101,2015-03-19,4.1
22101,2015-03-20,4.3
22101,2015-03-21,4.4
22101,2015-03-22,4
22101,2015-03-24,4.6
22101,2015-03-25,4.7
22101,2015-03-26,4.7
22101,2015-03-27,4.9
22101,2015-03-28,5
22101,2015-03-29,5.3
22101,2015-03-30,5.3
22101,2015-04-02,5.5
22101,2015-04-03,5.7
22101,2015-04-04,5.8
22101,2015-04-05,5.9
22101,2015-04-06,6
22101,2015-04-07,6.1
22101,2015-04-08,6.1
22101,2015-04-09,6.3
22101,2015-04-10,6.3
22101,2015-04-11,6.5
22101,2015-04-12,6.7
22101,2015-04-13,6.7
22101,2015-04-14,6.7
22101,2015-04-15,6.8
22101,2015-04-16,6.9
22101,2015-04-17,7
22101,2015-04-18,7.1
22101,2015-04-19,7.2
22101,2015-04-20,7.3
22101,2015-04-21,7.4
22101,2015-04-22,7.6
22101,2015-04-23,7.7
22101,2015-04-24,7.9
22101,2015-04-25,8.1
22101,2015-04-26,8.2
22101,2015-04-27,8.4
22101,2015-04-28,8.6
22101,2015-04-29,8.5
22101,2015-04-30,8.7
22101,2015-05-01,8.9
22101,2015-05-02,9.1
22101,2015-05-03,9.1
22101,2015-05-04,9.3
22101,2015-05-05,9.6
22101,2015-05-06,9.6
22101,2015-05-07,9.8
22101,2015-05-08,9.9
22101,2015-05-09,10
22101,2015-05-10,10.2
22101,2015-05-11,10.3
22101,2015-05-12,10.4
22101,2015-05-13,10.6
22101,2015-05-14,10.9
22101,2015-05-15,11
22101,2015-05-16,11.1
22101,2015-05-17,11.4
22101,2015-05-18,11.2
22101,2015-05-19,11.3
22101,2015-05-20,11.5
22101,2015-05-21,11.6
22101,2015-05-22,11.8
22101,2015-05-23,12
22101,2015-05-24,12.2
22101,2015-05-25,12.4
22101,2015-05-26,12.4
22101,2015-05-28,13.3
22101,2015-05-29,13
22101,2015-05-30,13.1
22101,2015-05-31,13.3
22101,2015-06-01,13.4
22101,2015-06-02,13.5
22101,2015-06-03,13.7
22101,2015-06-04,13.9
22101,2015-06-05,14.1
22101,2015-06-06,14.1
22101,2015-06-07,14.2
22101,2015-06-08,14.4
22101,2015-06-09,14.6
22101,2015-06-10,14.8
22101,2015-06-11,14.8
22101,2015-06-12,15
22101,2015-06-13,15
22101,2015-06-14,15.3
22101,2015-06-15,15.4
22101,2015-06-16,15.5
22101,2015-06-17,15.5
22101,2015-06-18,15.8
22101,2015-06-19,16
22101,2015-06-20,16
22101,2015-06-21,16.1
22101,2015-06-22,16.3
22101,2015-06-23,16.5
22101,2015-06-24,16.9
22101,2015-06-26,16.8
22101,2015-06-27,17.2
22101,2015-06-28,17.4
22101,2015-06-29,17.6
22101,2015-06-30,17.5
22101,2015-07-01,17.8
22101,2015-07-02,17.8
22101,2015-07-03,17.9
22101,2015-07-04,18.1
22101,2015-07-05,18.3
22101,2015-07-06,18.4
22101,2015-07-07,18.4
22101,2015-07-08,18.5
22101,2015-07-09,18.7
22101,2015-07-10,18.9
22101,2015-07-11,19.2
22101,2015-07-12,19
22101,2015-07-13,19.1
22101,2015-07-14,19.2
22101,2015-07-15,19.4
22101,2015-07-17,19.4
22101,2015-07-18,19.5
22101,2015-07-19,19.5
22101,2015-07-20,19.6
22101,2015-07-21,19.7
22101,2015-07-22,19.8
22101,2015-07-23,20
22101,2015-07-24,20
22101,2015-07-25,20
22101,2015-07-26,20.1
22101,2015-07-27,20.2
22101,2015-07-28,20.4
22101,2015-07-29,20.4
22101,2015-07-30,20.4
22101,2015-07-31,20.5
22101,2015-08-01,20.6
22101,2015-08-02,20.8
22101,2015-08-03,20.9
22101,2015-08-04,21.1
22101,2015-08-05,21.3
22101,2015-08-06,21.5
22101,2015-08-07,21.9
22101,2015-08-08,21.8
22101,2015-08-09,22.1
22101,2015-08-10,22.3
22101,2015-08-11,22.3
22101,2015-08-12,22.5
22101,2015-08-13,22.6
22101,2015-08-14,22.7
22101,2015-08-15,22.9
22101,2015-08-16,22.9
22101,2015-08-17,23.1
22101,2015-08-18,23.3
22101,2015-08-19,23.3
22101,2015-08-21,23.7
22101,2015-08-22,23.8
22101,2015-08-23,24.1
22101,2015-08-24,24
22101,2015-08-25,23.8
22101,2015-08-26,23.8
22101,2015-08-27,23.9
22101,2015-08-28,24
22101,2015-08-29,24
22101,2015-08-30,24.1
22101,2015-08-31,24.2
22101,2015-09-01,24.3
22101,2015-09-02,24.1
22101,2015-09-03,24.2
22101,2015-09-04,24.2
22101,2015-09-05,24.2
22101,2015-09-06,24.2
22101,2015-09-07,24.1
22101,2015-09-08,24.1
22101,2015-09-09,24
22101,2015-09-10,24
22101,2015-09-11,23.9
22101,2015-09-12,23.7
22101,2015-09-13,23.6
22101,2015-09-14,23.5
22101,2015-09-15,23.5
22101,2015-09-16,23.4
22101,2015-09-17,23.3
22101,2015-09-18,23.2
22101,2015-09-19,23.2
22101,2015-09-20,23.2
22101,2015-09-21,23.3
22101,2015-09-22,23.3
22101,2015-09-23,23.3
22101,2015-09-24,23.3
22101,2015-09-25,23.3
22101,2015-09-26,23.2
22101,2015-09-27,23.1
22101,2015-09-28,23
22101,2015-09-29,22.8
22101,2015-09-30,22.6
22101,2015-10-01,22.4
22101,2015-10-07,21.8
22101,2015-10-08,21.8
22101,2015-10-09,21.5
22101,2015-10-10,21.3
22101,2015-10-11,21
22101,2015-10-12,20.7
22101,2015-10-13,20.5
22101,2015-10-14,20.4
22101,2015-10-15,20.4
22101,2015-10-16,20.4
22101,2015-10-17,20.4
22101,2015-10-18,20.4
22101,2015-10-19,20.4
22101,2015-10-20,20.4
22101,2015-10-21,20.4
22101,2015-10-22,20.3
22101,2015-10-23,20.3
22101,2015-10-24,20.3
22101,2015-10-25,20.1
22101,2015-10-26,20
22101,2015-10-27,19.8
22101,2015-10-28,19.4
22101,2015-10-29,19.2
22101,2015-10-30,18.8
22101,2015-10-31,18.4
22101,2015-11-01,18.2
22101,2015-11-02,18.2
22101,2015-11-03,18.1
22101,2015-11-04,18.1
22101,2015-11-05,18.1
22101,2015-11-06,18
22101,2015-11-07,17.8
22101,2015-11-08,17.6
22101,2015-11-09,17.6
22101,2015-11-10,17.4
22101,2015-11-11,17.4
22101,2015-11-12,17.3
22101,2015-11-13,17.2
22101,2015-11-14,17
22101,2015-11-15,17
22101,2015-11-16,16.9
22101,2015-11-17,16.9
22101,2015-11-18,16.7
22101,2015-11-20,16.5
22101,2015-11-21,16.4
22101,2015-11-22,16.2
22101,2015-11-23,16.1
22101,2015-11-24,15.9
