지점,지점명,일시,일 최심신적설(cm),일 최심신적설 시각(hhmi)
102,백령도,2002.11.26,0.6,750
102,백령도,2002.12.11,3.1,2210
102,백령도,2002.12.12,0,
102,백령도,2002.12.30,3.7,1452
102,백령도,2003.1.2,0.3,2400
102,백령도,2003.1.3,11,2352
102,백령도,2003.1.4,5,2350
102,백령도,2003.1.5,4.4,1220
102,백령도,2003.1.6,0.1,2400
102,백령도,2003.1.7,3.7,755
102,백령도,2003.1.22,1.8,2035
102,백령도,2003.1.26,0.2,1655
102,백령도,2003.1.27,0.5,1425
102,백령도,2003.1.28,0.3,2330
102,백령도,2003.1.29,0.2,255
102,백령도,2003.3.6,0.2,750
102,백령도,2003.3.16,3.8,1455
102,백령도,2003.12.8,0.5,415
102,백령도,2003.12.11,3.1,1035
102,백령도,2004.1.12,1.1,1155
102,백령도,2004.1.18,2.2,1730
102,백령도,2004.1.20,3.3,1940
102,백령도,2004.1.21,1.8,1640
102,백령도,2004.1.22,1,1315
102,백령도,2004.1.23,0.7,505
102,백령도,2004.1.24,0.3,1715
102,백령도,2004.1.25,0.3,753
102,백령도,2004.1.27,2.8,812
102,백령도,2004.2.3,0.1,2245
102,백령도,2004.2.4,0.6,2230
102,백령도,2004.2.6,5.5,1320
102,백령도,2004.3.3,0.6,345
102,백령도,2004.3.4,10.2,1826
102,백령도,2004.12.28,0.1,2100
102,백령도,2005.1.10,3,1415
102,백령도,2005.1.15,1.3,1305
102,백령도,2005.1.31,0.3,1630
102,백령도,2005.2.1,0.2,535
102,백령도,2005.2.2,0.2,1640
102,백령도,2005.2.15,0.9,2235
102,백령도,2005.2.16,0.8,705
102,백령도,2005.2.19,0.2,245
102,백령도,2005.2.22,0.2,25
102,백령도,2005.3.1,1.4,2400
102,백령도,2005.3.2,1.3,500
102,백령도,2005.12.3,3,2300
102,백령도,2005.12.4,1,1910
102,백령도,2005.12.5,0.1,1040
102,백령도,2005.12.6,0.1,950
102,백령도,2005.12.11,1.4,1320
102,백령도,2005.12.12,1.3,1455
102,백령도,2005.12.13,1,1400
102,백령도,2005.12.14,1.2,1900
102,백령도,2005.12.15,5,1600
102,백령도,2005.12.16,5.7,1640
102,백령도,2005.12.17,0.5,1500
102,백령도,2005.12.18,5.2,1240
102,백령도,2005.12.20,1.5,2400
102,백령도,2005.12.21,16.6,300
102,백령도,2005.12.22,2.8,1900
102,백령도,2005.12.23,0.4,1110
102,백령도,2006.1.9,3.3,1320
102,백령도,2006.2.2,0.2,2300
102,백령도,2006.2.3,3.1,1535
102,백령도,2006.2.7,3.3,734
102,백령도,2006.2.26,1.1,200
102,백령도,2006.3.1,0.7,1055
102,백령도,2006.12.2,0.1,1350
102,백령도,2006.12.16,5.4,1735
102,백령도,2006.12.17,2.6,635
102,백령도,2006.12.28,0.2,1145
102,백령도,2007.1.6,0.5,710
102,백령도,2007.1.9,0.2,2110
102,백령도,2007.1.26,4,1250
102,백령도,2007.12.18,0.3,855
102,백령도,2007.12.29,0.7,1350
102,백령도,2007.12.30,2,1150
102,백령도,2007.12.31,0.2,1500
102,백령도,2008.1.1,0.2,550
102,백령도,2008.1.9,0.3,1400
102,백령도,2008.1.11,1.1,1110
102,백령도,2008.1.21,5.5,1155
102,백령도,2008.1.22,0.2,735
102,백령도,2008.2.25,5.6,2355
102,백령도,2008.2.26,1.5,710
102,백령도,2008.3.2,0.6,740
102,백령도,2008.11.18,1.6,1450
102,백령도,2008.11.19,0,40
102,백령도,2008.12.5,2,2300
102,백령도,2008.12.6,1.9,1750
102,백령도,2008.12.7,0,950
102,백령도,2008.12.22,2.9,1440
102,백령도,2009.1.15,0.3,1410
102,백령도,2009.1.23,0.5,1240
102,백령도,2009.1.24,2.6,1950
102,백령도,2009.1.25,1.4,1040
102,백령도,2009.2.18,0.1,600
102,백령도,2009.12.16,0.4,1710
102,백령도,2009.12.17,0.4,950
102,백령도,2009.12.18,0.8,2250
102,백령도,2009.12.19,3.4,1410
102,백령도,2009.12.26,0.5,1245
102,백령도,2009.12.27,1.5,1540
102,백령도,2009.12.28,0.1,250
102,백령도,2009.12.29,3.6,1140
102,백령도,2009.12.30,0,
102,백령도,2010.1.1,1.8,2400
102,백령도,2010.1.2,2.1,350
102,백령도,2010.1.3,3.2,2400
102,백령도,2010.1.4,7.6,1150
102,백령도,2010.1.5,0.4,2400
102,백령도,2010.1.6,0.4,1420
102,백령도,2010.1.7,0.3,1240
102,백령도,2010.1.9,3.2,1500
102,백령도,2010.1.10,0.2,1400
102,백령도,2010.1.12,2.3,2350
102,백령도,2010.1.13,1.1,2200
102,백령도,2010.1.14,0.4,2250
102,백령도,2010.1.15,0.4,640
102,백령도,2010.1.22,0.1,1155
102,백령도,2010.2.3,0.5,2400
102,백령도,2010.2.4,0.1,50
102,백령도,2010.2.11,4.1,1500
102,백령도,2010.2.17,7.5,2100
102,백령도,2010.2.28,4.7,2400
102,백령도,2010.3.1,5.6,1015
102,백령도,2010.3.9,1.5,1800
102,백령도,2010.3.17,0.1,2015
102,백령도,2010.12.7,0,1648
102,백령도,2010.12.8,0.9,1735
102,백령도,2010.12.12,0.3,405
102,백령도,2010.12.14,0.1,1635
102,백령도,2010.12.15,3.8,2400
102,백령도,2010.12.16,15.1,2140
102,백령도,2010.12.17,0,758
102,백령도,2010.12.24,3.3,2400
102,백령도,2010.12.25,2.2,557
102,백령도,2010.12.26,5.6,1055
102,백령도,2010.12.27,0,530
102,백령도,2010.12.28,6,948
102,백령도,2010.12.29,4.6,2400
102,백령도,2010.12.30,5.4,1748
102,백령도,2010.12.31,5.8,2050
102,백령도,2011.1.10,1,1350
102,백령도,2011.1.11,3.2,1440
102,백령도,2011.1.13,0.6,1224
102,백령도,2011.1.15,0.3,1748
102,백령도,2011.1.16,0.3,948
102,백령도,2011.1.18,1.7,2055
102,백령도,2011.1.19,0.2,950
102,백령도,2011.1.23,0.1,1435
102,백령도,2011.1.24,0.4,1455
102,백령도,2011.1.26,1,255
102,백령도,2011.1.29,2.9,1057
102,백령도,2011.12.9,1.5,1050
102,백령도,2011.12.10,0.8,1710
102,백령도,2011.12.16,0.5,1445
102,백령도,2011.12.17,0,930
102,백령도,2011.12.23,11.5,2350
102,백령도,2011.12.24,0.1,40
102,백령도,2011.12.25,0.3,1030
102,백령도,2011.12.31,0.3,1050
102,백령도,2012.1.3,7,2120
102,백령도,2012.1.12,5.1,1220
102,백령도,2012.1.23,0.2,2130
102,백령도,2012.1.24,0.1,1550
102,백령도,2012.1.25,0.1,1950
