지점,지점명,일시(UTC),기압(hPa),고도(gpm),기온(°C)
47102,백령도,2017-11-02 00:00,20,26420,-54.9
47102,백령도,2017-11-02 00:00,30,23830,-53.7
47102,백령도,2017-11-02 00:00,50,20590,-59.5
47102,백령도,2017-11-02 00:00,70,18510,-63.3
47102,백령도,2017-11-02 00:00,100,16290,-61.1
47102,백령도,2017-11-02 00:00,150,13770,-59.1
47102,백령도,2017-11-02 00:00,200,11960,-55.9
47102,백령도,2017-11-02 00:00,250,10520,-47.9
47102,백령도,2017-11-02 00:00,300,9290,-40.7
47102,백령도,2017-11-02 00:00,400,7300,-28.9
47102,백령도,2017-11-02 00:00,500,5660,-16.9
47102,백령도,2017-11-02 00:00,700,3073,-3.3
47102,백령도,2017-11-02 00:00,850,1503,8.2
47102,백령도,2017-11-02 00:00,925,804,10.2
47102,백령도,2017-11-02 00:00,1000,,
47102,백령도,2017-11-02 12:00,20,26450,-55.1
47102,백령도,2017-11-02 12:00,30,23850,-56.7
47102,백령도,2017-11-02 12:00,50,20600,-54.9
47102,백령도,2017-11-02 12:00,70,18500,-60.7
47102,백령도,2017-11-02 12:00,100,16280,-64.5
47102,백령도,2017-11-02 12:00,150,13750,-57.3
47102,백령도,2017-11-02 12:00,200,11920,-52.7
47102,백령도,2017-11-02 12:00,250,10470,-48.7
47102,백령도,2017-11-02 12:00,300,9260,-42.1
47102,백령도,2017-11-02 12:00,400,7260,-30.1
47102,백령도,2017-11-02 12:00,500,5640,-21.1
47102,백령도,2017-11-02 12:00,700,3067,-1.9
47102,백령도,2017-11-02 12:00,850,1500,6.4
47102,백령도,2017-11-02 12:00,925,799,10.8
47102,백령도,2017-11-02 12:00,1000,,
47102,백령도,2017-11-03 00:00,10,30940,-47.5
47102,백령도,2017-11-03 00:00,20,26460,-56.5
47102,백령도,2017-11-03 00:00,30,23850,-53.1
47102,백령도,2017-11-03 00:00,50,20600,-56.7
47102,백령도,2017-11-03 00:00,70,18460,-59.1
47102,백령도,2017-11-03 00:00,100,16230,-61.1
47102,백령도,2017-11-03 00:00,150,13690,-57.1
47102,백령도,2017-11-03 00:00,200,11850,-52.5
47102,백령도,2017-11-03 00:00,250,10400,-48.7
47102,백령도,2017-11-03 00:00,300,9180,-43.3
47102,백령도,2017-11-03 00:00,400,7200,-32.7
47102,백령도,2017-11-03 00:00,500,5600,-21.7
47102,백령도,2017-11-03 00:00,700,3047,-5.9
47102,백령도,2017-11-03 00:00,850,1503,2.6
47102,백령도,2017-11-03 00:00,925,815,3.6
47102,백령도,2017-11-03 00:00,1000,176,9.4
47102,백령도,2017-11-03 12:00,30,23860,-53.5
47102,백령도,2017-11-03 12:00,50,20590,-52.7
47102,백령도,2017-11-03 12:00,70,18470,-60.1
47102,백령도,2017-11-03 12:00,100,16240,-57.3
47102,백령도,2017-11-03 12:00,150,13650,-57.9
47102,백령도,2017-11-03 12:00,200,11810,-51.9
47102,백령도,2017-11-03 12:00,250,10350,-46.7
47102,백령도,2017-11-03 12:00,300,9130,-39.9
47102,백령도,2017-11-03 12:00,400,7140,-32.3
47102,백령도,2017-11-03 12:00,500,5520,-22.5
47102,백령도,2017-11-03 12:00,700,3016,-11.7
47102,백령도,2017-11-03 12:00,850,1509,-5.7
47102,백령도,2017-11-03 12:00,925,840,.2
47102,백령도,2017-11-03 12:00,1000,208,6.6
47102,백령도,2017-11-04 00:00,20,26430,-51.5
47102,백령도,2017-11-04 00:00,30,23830,-55.5
47102,백령도,2017-11-04 00:00,50,20560,-56.1
47102,백령도,2017-11-04 00:00,70,18460,-58.7
47102,백령도,2017-11-04 00:00,100,16210,-59.5
47102,백령도,2017-11-04 00:00,150,13670,-58.7
47102,백령도,2017-11-04 00:00,200,11840,-53.9
47102,백령도,2017-11-04 00:00,250,10400,-50.1
47102,백령도,2017-11-04 00:00,300,9190,-45.3
47102,백령도,2017-11-04 00:00,400,7230,-35.1
47102,백령도,2017-11-04 00:00,500,5640,-22.3
47102,백령도,2017-11-04 00:00,700,3085,-6.1
47102,백령도,2017-11-04 00:00,850,1554,-1.5
47102,백령도,2017-11-04 00:00,925,879,-1.1
47102,백령도,2017-11-04 00:00,1000,251,5
47102,백령도,2017-11-04 12:00,50,20580,-56.3
47102,백령도,2017-11-04 12:00,70,18470,-63.3
47102,백령도,2017-11-04 12:00,100,16250,-60.1
47102,백령도,2017-11-04 12:00,150,13730,-58.7
47102,백령도,2017-11-04 12:00,200,11910,-55.7
47102,백령도,2017-11-04 12:00,250,10480,-52.1
47102,백령도,2017-11-04 12:00,300,9290,-47.9
47102,백령도,2017-11-04 12:00,400,7340,-32.9
47102,백령도,2017-11-04 12:00,500,5720,-20.1
47102,백령도,2017-11-04 12:00,700,3129,-.5
47102,백령도,2017-11-04 12:00,850,1561,2.2
47102,백령도,2017-11-04 12:00,925,880,.8
47102,백령도,2017-11-04 12:00,1000,247,6.8
47102,백령도,2017-11-05 00:00,20,26410,-55.3
47102,백령도,2017-11-05 00:00,30,23820,-55.3
47102,백령도,2017-11-05 00:00,50,20570,-61.1
47102,백령도,2017-11-05 00:00,70,18480,-60.5
47102,백령도,2017-11-05 00:00,100,16280,-63.7
47102,백령도,2017-11-05 00:00,150,13780,-60.9
47102,백령도,2017-11-05 00:00,200,11980,-57.7
47102,백령도,2017-11-05 00:00,250,10550,-50.7
47102,백령도,2017-11-05 00:00,300,9350,-44.7
47102,백령도,2017-11-05 00:00,400,7370,-31.7
47102,백령도,2017-11-05 00:00,500,5750,-19.1
