지점,지점명,일시(UTC),기압(hPa),고도(gpm),기온(°C)
47102,백령도,2019-11-02 00:00,10,31070,-45.9
47102,백령도,2019-11-02 00:00,20,26490,-53.1
47102,백령도,2019-11-02 00:00,30,23860,-55.1
47102,백령도,2019-11-02 00:00,50,20620,-57.9
47102,백령도,2019-11-02 00:00,70,18520,-63.1
47102,백령도,2019-11-02 00:00,100,16330,-64.1
47102,백령도,2019-11-02 00:00,150,13830,-59.7
47102,백령도,2019-11-02 00:00,200,12020,-58.9
47102,백령도,2019-11-02 00:00,250,10610,-53.1
47102,백령도,2019-11-02 00:00,300,9400,-42.5
47102,백령도,2019-11-02 00:00,400,7390,-26.7
47102,백령도,2019-11-02 00:00,500,5740,-16.7
47102,백령도,2019-11-02 00:00,700,3124,-.5
47102,백령도,2019-11-02 00:00,850,1544,9
47102,백령도,2019-11-02 00:00,925,840,11.6
47102,백령도,2019-11-02 00:00,1000,187,12.6
47102,백령도,2019-11-02 12:00,10,30880,-47.9
47102,백령도,2019-11-02 12:00,20,26360,-52.5
47102,백령도,2019-11-02 12:00,30,23760,-55.7
47102,백령도,2019-11-02 12:00,50,20550,-60.5
47102,백령도,2019-11-02 12:00,70,18470,-64.1
47102,백령도,2019-11-02 12:00,100,16280,-62.9
47102,백령도,2019-11-02 12:00,150,13750,-59.3
47102,백령도,2019-11-02 12:00,200,11950,-57.7
47102,백령도,2019-11-02 12:00,250,10530,-52.1
47102,백령도,2019-11-02 12:00,300,9320,-43.1
47102,백령도,2019-11-02 12:00,400,7320,-27.3
47102,백령도,2019-11-02 12:00,500,5680,-18.7
47102,백령도,2019-11-02 12:00,700,3093,-4.5
47102,백령도,2019-11-02 12:00,850,1529,8.2
47102,백령도,2019-11-02 12:00,925,826,12.2
47102,백령도,2019-11-02 12:00,1000,171,14.6
47102,백령도,2019-11-03 00:00,10,31030,-47.3
47102,백령도,2019-11-03 00:00,20,26480,-50.9
47102,백령도,2019-11-03 00:00,30,23860,-55.7
47102,백령도,2019-11-03 00:00,50,20610,-61.7
47102,백령도,2019-11-03 00:00,70,18520,-60.7
47102,백령도,2019-11-03 00:00,100,16290,-60.1
47102,백령도,2019-11-03 00:00,150,13740,-57.3
47102,백령도,2019-11-03 00:00,200,11900,-54.7
47102,백령도,2019-11-03 00:00,250,10460,-51.3
47102,백령도,2019-11-03 00:00,300,9260,-45.3
47102,백령도,2019-11-03 00:00,400,7280,-31.3
47102,백령도,2019-11-03 00:00,500,5660,-20.3
47102,백령도,2019-11-03 00:00,700,3092,-4.7
47102,백령도,2019-11-03 00:00,850,1534,7
47102,백령도,2019-11-03 00:00,925,832,12.4
47102,백령도,2019-11-03 00:00,1000,175,15.2
47102,백령도,2019-11-03 12:00,20,26410,-51.3
47102,백령도,2019-11-03 12:00,30,23810,-54.3
47102,백령도,2019-11-03 12:00,50,20570,-60.3
47102,백령도,2019-11-03 12:00,70,18490,-60.9
47102,백령도,2019-11-03 12:00,100,16270,-61.1
47102,백령도,2019-11-03 12:00,150,13750,-58.5
47102,백령도,2019-11-03 12:00,200,11900,-50.1
47102,백령도,2019-11-03 12:00,250,10440,-49.9
47102,백령도,2019-11-03 12:00,300,9240,-45.9
47102,백령도,2019-11-03 12:00,400,7270,-32.5
47102,백령도,2019-11-03 12:00,500,5660,-20.1
47102,백령도,2019-11-03 12:00,700,3093,-6.3
47102,백령도,2019-11-03 12:00,850,1538,6
47102,백령도,2019-11-03 12:00,925,841,11
47102,백령도,2019-11-03 12:00,1000,186,14.8
47102,백령도,2019-11-04 00:00,10,31030,-45.9
47102,백령도,2019-11-04 00:00,20,26470,-50.7
47102,백령도,2019-11-04 00:00,30,23840,-54.1
47102,백령도,2019-11-04 00:00,50,20600,-60.7
47102,백령도,2019-11-04 00:00,70,18500,-61.7
47102,백령도,2019-11-04 00:00,100,16290,-60.1
47102,백령도,2019-11-04 00:00,150,13750,-57.9
47102,백령도,2019-11-04 00:00,200,11900,-52.3
47102,백령도,2019-11-04 00:00,250,10440,-49.7
47102,백령도,2019-11-04 00:00,300,9250,-46.9
47102,백령도,2019-11-04 00:00,400,7280,-32.9
47102,백령도,2019-11-04 00:00,500,5670,-20.9
47102,백령도,2019-11-04 00:00,700,3099,-3.7
47102,백령도,2019-11-04 00:00,850,1540,5
47102,백령도,2019-11-04 00:00,925,845,8.6
47102,백령도,2019-11-04 00:00,1000,196,12.2
47102,백령도,2019-11-04 12:00,10,30920,-48.7
47102,백령도,2019-11-04 12:00,20,26410,-49.7
47102,백령도,2019-11-04 12:00,30,23780,-54.5
47102,백령도,2019-11-04 12:00,50,20570,-61.3
47102,백령도,2019-11-04 12:00,70,18480,-62.3
47102,백령도,2019-11-04 12:00,100,16270,-59.3
47102,백령도,2019-11-04 12:00,150,13720,-55.9
47102,백령도,2019-11-04 12:00,200,11880,-54.3
47102,백령도,2019-11-04 12:00,250,10450,-52.3
47102,백령도,2019-11-04 12:00,300,9250,-45.1
47102,백령도,2019-11-04 12:00,400,7270,-31.5
47102,백령도,2019-11-04 12:00,500,5660,-20.5
47102,백령도,2019-11-04 12:00,700,3092,-3.5
47102,백령도,2019-11-04 12:00,850,1531,5.2
47102,백령도,2019-11-04 12:00,925,835,9.2
47102,백령도,2019-11-04 12:00,1000,184,12.4
47102,백령도,2019-11-05 00:00,10,31010,-49.1
47102,백령도,2019-11-05 00:00,20,26470,-48.7
47102,백령도,2019-11-05 00:00,30,23830,-56.3
47102,백령도,2019-11-05 00:00,50,20610,-61.7
47102,백령도,2019-11-05 00:00,70,18520,-61.7
47102,백령도,2019-11-05 00:00,100,16280,-58.7
47102,백령도,2019-11-05 00:00,150,13710,-57.3
47102,백령도,2019-11-05 00:00,200,11870,-55.3
47102,백령도,2019-11-05 00:00,250,10450,-54.3
47102,백령도,2019-11-05 00:00,300,9260,-48.3
47102,백령도,2019-11-05 00:00,400,7290,-31.9
47102,백령도,2019-11-05 00:00,500,5670,-19.3
47102,백령도,2019-11-05 00:00,700,3084,-3.5
47102,백령도,2019-11-05 00:00,850,1524,6.4
47102,백령도,2019-11-05 00:00,925,826,6
47102,백령도,2019-11-05 00:00,1000,180,11.8
47102,백령도,2019-11-05 12:00,20,26390,-48.7
47102,백령도,2019-11-05 12:00,30,23770,-56.7
47102,백령도,2019-11-05 12:00,50,20560,-62.9
47102,백령도,2019-11-05 12:00,70,18480,-60.3
47102,백령도,2019-11-05 12:00,100,16250,-59.5
47102,백령도,2019-11-05 12:00,150,13700,-56.9
47102,백령도,2019-11-05 12:00,200,11880,-55.1
47102,백령도,2019-11-05 12:00,250,10460,-55.7
47102,백령도,2019-11-05 12:00,300,9280,-47.5
47102,백령도,2019-11-05 12:00,400,7310,-32.3
47102,백령도,2019-11-05 12:00,500,5700,-18.7
47102,백령도,2019-11-05 12:00,700,3091,.4
